asin,title,brand,price,average_rating,rating_count,features,description,popularity_rank,category,price_tier,popularity_tier,store,categories
B092JKFZPH,"KALINCO Smart Watch, Fitness Tracker with Heart Rate Monitor, Blood Pressure, Blood Oxygen Tracking, 1.4 Inch Touch Screen Smartwatch Fitness Watch for Women Men Compatible with Android iOS",KALINCO,24.59,4.0,20023,"All-day Activity Tracking: This smart watch has 7 kinds of sports modes (Walking, Running, Cycling, Skipping, Badminton, Basketball, Football). The watch display shows your accurate steps, distance, calories, active minutes and you can see more detailed data on App. | Sleep and Blood Oxygen Saturation: The Tracker can monitor your Heart Rate, Blood Pressure, Blood Oxygen (SpO2) and your deep, light sleep state which can help you better understand your health. (NOTE: the data cannot be used as a medical-grade test) | Notifications and More Practical Features: All messages and notifications will show on your wrist and remind you through vibration. It cannot answer call or text on watch. There are also many convenient functions like Timer, Wake-up Gesture, Find Phone, Sedentary Reminder, Music Control and Weather Display. | 1.4 Inch Full-touch Screen & Custom Watch Face: The watch with 1.4 inch LCD screen can provide you with high-quality touch and visual experience. Five levels of brightness options allow you to easily read information in the sun or dark. Also you can choose a picture you like to customize the watch face in HeroBandIII App. (Wristband Size: 5.85 - 8.78 inch) | Great Battery Life and Wider Compatibility: Our smart watch is compatible with iOS 9.0/Android OS 4.4 or above smartphones. It can be used for up to 7 days and standby for 30+ days after fully charged.",,11,smartwatches,budget,mainstream,,
B0B5WDRB5K,"Popglory Smart Watch, Smartwatch with Blood Pressure, Blood Oxygen Monitor, Fitness Tracker with Heart Rate Monitor, Full Touch Fitness Watch for Android & iOS for Men Women",Popglory,25.49,3.9,19862,"Guard your health all day: Using advanced sensors, the watch can detect your blood pressure, heart rate and blood oxygen, and record the data in the companion app HeroBandⅢ to help you better understand the changes in your body. Tips: Please download the latest version of HeroBand III for better use. | Full-touch Screen & Exclusive Wallpapers: Easily switch your look from one to another with the latest collection of watch faces, also you can customize the watch face and create your style. Full touch screen brings you a better interactive experience, offering quick access to workout data. | Perfect Personal Partner: Stay connected with call, text and other app notifications, and convenient tools like timer, stopwatch, wrist sense, DND mode, find phone, sedentary reminder, music control and weather display. | Life and Fitness Companion: The smart watch with 7 sport modes records your all-day activities including steps, distance, calories, sleep status and heart rate. It shows your periods of deep sleep, light sleep and waking time. Note: Walking, Running, Cycling, Skipping, Badminton, Basketball, Football. | Wider Compatibility and Long Battery Life: The sport watch is compatible with iOS 9.0, android 4.4 and above smartphones. Up to 10 days using time and 30+ days standby can keep you organized and productive all day. Understand your fitness, sleep quality and heart health with the app HeroBandⅢ now.",,12,smartwatches,budget,mainstream,,
B0C59KGT61,"Amazfit GTS 2 Mini Smart Watch for Women Girls, Alexa Built-in, GPS Tracker, 14 Days Battery Life, Blood Oxygen Heart Rate Sleep Monitoring, 5 ATM Water Resistant, Android iPhone Compatible-Pink",Amazfit,74.99,4.2,17226,"【BUILT IN AMAZON ALEXA & GPS】You can talk to Amazon Alexa on your Amazfit GTS 2 Mini Smart Watch. Ask questions, get translations, set alarms, and timers, create shopping lists, check the weather, control your smart home devices, and more. Get precise tracking on your daily steps, distance traveled, and calories burned thanks to integrated GPS..Suported Application:Alarm,Calendar,Calorie Tracker,Heart Rate Monitor,Distance Tracking. Connectivity technology:Bluetooth,GPS. Wireless comm standard:Bluetooth | 【14-DAY LONG-LASTING BATTERY】A fully-optimized battery management system provides upto 14 days of battery life for the Amazfit GTS 2 mini watch. Get rid of the anxiety brought on by constant charging, and keep the energy flowing. The 220mAh battery is ready to power you through upto two weeks of activity. | 【70plus SPORTS MODES & 5 ATM WATER RESISTANT】The Amazfit GTS 2 mini features over 70 built-in sports modes, allowing to cover sports enthusiasts whether indoors or outdoors. With 5 ATM water resistance, this fitness watch can resist any of your daily activities and can even be worn while swimming. | 【ALL-ROUND HEALTH MANAGEMENT】This smart watch can provide heart rate monitoring, blood-oxygen saturation measurement, sleep monitoring, stress level monitoring and female cycle tracking, as well as other functions to achieve total health management from your wrist. The PAI health assessment system also processes complex health data with an advanced algorithm to present your physical condition in a simple, single-value score. | 【SupR LIGHT AND THIN & BUILT IN AMOLED DISPLAY】The Amazfit GTS 2 mini adopts a borderless design. Featuring carefully curved 2.5D glass to enhance your most fashionable outfits. With a light 19.5 g weight, a thickness of 8.95 mm (without the sensor base), and a skin-friendly silicone strap, this smart watch allows you to enjoy the lightness of time. And a 1.55-inch vibrant AMOLED screen for enhanced color and clarity. | 【SMART NOTIFICATIONS & COMPATIBILITY】Get an intelligent little pal to remind you of the incoming calls, text messages, apps, and calendars, alarm clock, weather forecast, and suport control the music playback & camera on your smartphone. This smart watch can work seamlessly with iOS 10.0 & Android 5.0 or higher smart phones.","The Amazfit GTS 2 mini is a Smartwatch with the lifestyle switch for all your looks. The customized 1.55-inch stylish square screen offers a larger display area and has a slim aluminum alloy body with 50+ watch faces to suit your everyday mood and outfit. With 14-day battery life for typical use and up to 21 days endurance for basic use, this smartwatch is built to go the distance with you. Come with multiple health tracking functions including 24/7 heart rate monitoring, sleep quality & stress ",13,smartwatches,midrange,mainstream,,
B0BJW6R4YX,"Amazfit Bip U Pro Smart Watch with Alexa Built-In for Men Women, GPS Fitness Tracker with 60+ Sport Modes, Blood Oxygen Heart Rate Sleep Monitor, 5 ATM Water Resistant, for iPhone Android(Green)",Amazfit,54.99,4.2,16590,"【ALEXA & GPS BUILT-IN】You can talk to Amazon Alexa on your Amazfit Bip U Pro smartwatch, Ask questions, get translations, check the weather, control your smart home devices and more. And get precise tracking of your distance, daily step count thanks to integrated GPS..Water resistance depth:50 meters.Suported Application:Alarm,Breath Monitor,Calendar,Calorie Tracker,Heart Rate Monitor. Connectivity technology:GPS. Wireless comm standard:Bluetooth | 【60plus SPORTS MODES & 5 ATM WATER RESISTANT】Featuring 60plus sports modes to help you exercise at a higher level. Water-resistant upto 50 meters, you can wear the fitness watch for swimming and it will record your achievements even underwater. | 【MORE HEALTH TRACKING METRICS】The Amazfit Bip U Pro smart watch can provide all-around health tracking, allowing you to accurately track 24-hour heart rate, blood oxygen levels, stress levels, sleep quality, and female menstrual cycle. | 【LONG 9-DAY BATTERY LIFE】When fully charged you can relax and enjoy more than a full week of travel or work without worrying about chargers. | 【DESIGN FOR ALL-DAY COMFORT】Amazfit Bip U Pro fitness tracker only weighs 31 grams, An ultra-light design you can barely feel when striving for peak performance. ​Featuring a 1.43” large color screen with 320x302 pixel resolution, creates an exquisite visual display, making all incoming calls, messages, and reminders extremely clear. | 【SMART NOTIFICATIONS】Get an intelligent little pal to remind you of the incoming calls, text messages, apps, and calendars, alarm clock, weather forecast, and suport controlling the music and camera of your smartphone.","Amazfit Bip U Pro Smartwatch is designed to give consumers an attractive alternative to today's pricey smartwatches. Boasting a 225mAh battery to deliver up to 9 days of endurance on a single charge. It also has 60+ sports modes with high-precision GPS letting you exercise at a higher level. With 5 ATM water resistance, this fitness tracker can resist any of your daily activities even swimming. Come with multiple health tracking features include 24/7 heart rate monitoring, sleep quality & stress",14,smartwatches,midrange,mainstream,,
B0B4N3FVQK,"Fitbit Charge 5 Advanced Fitness & Health Tracker with Built-in GPS, Stress Management Tools",Fitbit,99.95,4.2,16517,Built-in GPS | Daily Readiness Score | Stress management | SpO2 | Skin temperature,Fitbit Charge 5 Advanced Fitness & Health Tracker.,15,,premium,mainstream,Fitbit,"['Electronics', 'Wearable Technology', 'Fitness Trackers']"
B07R5VHKKZ,"Garmin 010-01689-00 Forerunner 35; Easy-to-Use GPS Running Watch, Black",Garmin,94.49,4.5,14891,"Easy-to use GPS running watch tracks how far, how fast and where you run.Special Feature:Bluetooth.Water Resistant: Yes | Estimates heart rate at the wrist, all day and night, using Garmin elevate wrist heart rate technology | Connected features: Smart notifications, automatic uploads to Garmin Connect, live tracking and music controls (when paired with a compatible smartphone) | All-day activity tracking estimates steps, calories and intensity minutes and reminds you when to move | Automatically uploads your data to Garmin Connect, our free online fitness community where you can join challenges, receive insights and share your progress as you meet your goals","Garmin Forerunner 35 Watch, Black. Accelerometer (calculates distance for indoor workouts, without need for a foot pod). Android Requirements 4.4 OS or later, Bluetooth 4.0 or later. Apple iOS Requirements iOS 10.0 or later, compatible with iPhone, iPad, and iPod touch. Battery: Rechargeable lithium ion.",16,smartwatches,premium,niche,,
B08J79T7CQ,"SAMSUNG Galaxy Watch Active (40MM, GPS, Bluetooth ) Smart Watch with Fitness Tracking, and Sleep Analysis - Black  (US Version)",SAMSUNG,187.48,4.6,14376,"Track your way to real results: Automatically detects up to 6 exercises, while tracking up to 39 more, right from your wrist | Resolve to rest better; Helps you analyze your sleep patterns and encourages you to wind down to keep you refreshed and at your best; Compatible devices: Samsung Smartphone, Non Samsung Android Smartphone(Android OS 5.0 and above RAM 1.5GB and above), iOS 9.0 and above iPhone 5 and above | Sends you real time alerts if ever detecting a high or low heart rate, so you can be more proactive about your heart health | Expand your Galaxy; Sync with your phone to stream your playlist, get notifications and more, right on your wrist | Thin; Light; Durable a thin, lightweight and durable swim ready design comes in a variety of colors and interchangeable bands | Lasts for days: Go nonstop with a long lasting battery that lasts for days on a single charge","The lightweight, yet durable Galaxy Watch Active understands the way you work out. With auto workout tracking, you’ll have the power to reach new goals. Plus a suite of apps help you to monitor your stress and sleep while you stay connected. Low Usage: Up to 90 hours. Battery 247mAh (milli-Amp-hour).",17,smartwatches,premium,niche,,
B09J8T11J4,"GRV Smart Watch for iOS and Android Phones, Watches for Men Women IP68 Waterproof Smartwatch Fitness Tracker Watch with Heart Rate/Sleep Monitor Steps Calories Counter (Gray)",GRV,33.99,4.1,13375,"【Accurate Fitness Tracker with 9 Sport Modes】 This fitness tracker watch can accurately provide 24hrs heart rate monitoring, calories burned counter, steps counter, sleep monitoring and female cycle tracking. 9 sports modes are optional, including various outdoor and indoor activities, allow you to get the real-time stats during your workouts on the watch. You can also connect it to smartphone's GPS to track all your workout routes and distance traveled during exercise. | 【Smart Watch Compatible with iPhone Android Phones】- This smart watch is compatible with most iOS 8.0 & Android 4.4 or higher smart phones(Not for PC or tablet). Pair the smart watch to your phone and receive all incoming calls, messages, apps notifications straight to your smartwatch including Facebook, Instagram, Twitter, Whatsapp, and more. (Please note: only supports receiving calls and messages). | 【24/7 Heart Rate Monitor & Sleep Tracker】 This smart tracker watch will monitor your heart rate every 5 minutes all day; It also detect and track your sleep, and analyze your sleep quality automatically.(deep sleep, light sleep, and awake time). By connecting the smartwatch to your phone, the VeryFitPro app will provide detailed heart rate chart and comprehensive analysis of your sleep quality to help you stay active and stay healthy:) | 【Long-lasting battery & IP68 Waterproof Smart Watch】 When fully-charged, this watch can last for up to 7 days or 30 days standby time. With IP68 waterproof, this fitness watch can meet the waterproof requirements of your daily activities such as washing hands or working out in the rain with it. Whether it's sweat or a small splash, just handle it with ease. | 【Smart Watch for Women Men with More Practical Features】 This watch can fit for 6.2-9.2 inch wrist, suits for both women and men. It has many practical features, such as female menstrual cycle tracker, alarm clocks, music control, stopwatch, timer, deep breath guide, sedentary reminder. It's a also very good choice as gift for your friends and family members to help them stay motivated all day!",,18,smartwatches,budget,niche,,
B07VQJ56T3,"SAMSUNG Galaxy Watch Active 2 Smart Watch 44mm US Version GPS Bluetooth Advanced Health Monitoring Fitness Tracking Long-Lasting Battery, Aqua Black",Samsung Electronics,173.87,4.6,12846,"Better Insights To Help You Reach Your Fitness Goals: Get More Out Of Every Mile, Thanks To Built-In Pace Coaching On The Galaxy Watch Active2. | Comfortably Sleek: The Galaxy Active2 Comes In Aluminum With A Silicone Strap, And Is Light Enough To Wear Anywhere Comfortably. Compatible Devices-Samsung Smartphone, Non-Samsung Android Smartphone (Android Os 5.0 And Above Ram 1.5Gb And Above), Ios 9.0 And Above Iphone 5 And Above | Keep Your Beat: Receive An Automatic Alert If Your Watch Detects A High Or A Low Heart Rate. | Level Up Your Downtime: The Built-In Sleep Tracker Offers Valuable Insights On How To Get A Better Night’S Sleep.","It’s all right there on your wrist. The SAMSUNG Galaxy Watch Active2 is designed to help you learn more so you can achieve more. Go beyond tracking steps and counting calories, and track your way to wellness with the Active2 Smart Watch that offers actionable insights on everything from your running style to your heart rate. Better insights allow you to get more out of every mile thanks to built-in pace coaching, and advanced sensors keep your pace to help you better achieve your run goals. Conn",19,smartwatches,premium,niche,,
B0BL9BRHYR,"Donerton Smart Watch, Fitness Tracker for Android Phones, Fitness Tracker with Heart Rate and Sleep Monitor, Activity Tracker with IP67 Waterproof Pedometer Smartwatch with Step Counter, Blue",Donerton,29.99,3.9,12186,"heart rate monitor and pedometer: fitness tracker watch built in high performance motion sensor automatically monitors and detects your heart rate in real time, help you better grasp changes for your health and record accurately calorie consumption, distance, steps. you can view historical data in the app “Hero Band III”. | sleep tracker and alarm clock: smart band can records your deep, light, and awake sleep patterns, and track your sleep quality status to get a better understanding of your health and and make reasonable adjustment on your lifestyle. you can also set an alarm to wake you up softly every day. with Donerton sports watch, your life will be easy and smart. | call and message notifications: when you connect the smart watch to your smartphone, you will never miss a call or message again. it will vibrate and notify you when your phone receives a call, sms text or sns notifications (facebook, twitter, whatsapp, linkedi, messenger, instagram). you can even hang up incoming phone calls straight from your wrist. | ip67 waterproof: with the technology of ip67 waterproof, the smart watch will not be damaged even if you wash your hands, bathe and swim while wearing the fitness watch. meet your daily needs. (note: the smartwatch does not prevent hot water and sea water.) after connecting to the phone, you can also see the real time weather forecast. | overtake your expectations: our 1.4 inch color touch screen make it easy to operate and easily check detailed data reports. there is 4 stylish clock faces for you to choose from, different styles match your different moods. more practical tools such as alarm clocks, stopwatch, timer, camera control, music controller, sedentary reminder, adjustable brightness,find phone. this watch can be a very good gift choice to make people live more healthy, more active and more convenient.",,20,smartwatches,budget,niche,,
